Akmenė Airfield,,EYNA,56.242199,22.733101,LT
Alytus,,EYAL,54.41497,24.05527,LT
Barysiai Airport,,EYSB,56.07056,23.55778,LT
Biržai Airfield,,EYBI,56.1758,24.7603,LT
Druskininkai,,EYDR,54.01603,23.94506,LT
Ignalina,,EYIG,55.24419,26.17143,LT
Jonava Airport,,EYRU,55.01667,24.36667,LT
Jurbarkas Aerodromas,,EYJB,55.118049621,22.7648735,LT
Kartena,,EYKT,55.91936,21.57231,LT
Kaunas Airport,KUN,EYKA,54.96392,24.08478,LT
Kedainiai,,EYKD,55.31173,23.95618,LT
Klaipeda Airport,KLJ,EYKL,55.7109,21.2416,LT
Kyviškes Airfield,,EYVK,54.6683006287,25.5158004761,LT
Molėtai Airfield,,EYMO,55.112801,25.336399,LT
Nemirseta Heliport,,EYNE,55.861276,21.07831,LT
Nida Airport,,EYND,55.33333,21.05,LT
Pajuostis Air Base,PNV,EYPP,55.72972,24.45934,LT
Palanga International Airport,PLQ,EYPA,55.97323,21.09386,LT
Paluknys,,EYVP,54.48306,24.99222,LT
Paluknys Heli Base,,EYPH,54.486807,24.997326,LT
Panevėžys Airfield,PNV,EYPN,55.709512,24.345188,LT
Panevėžys Istra Airfield,,EYPI,55.827499,24.358299,LT
Prienai Airport,,EYPR,54.65,24.06667,LT
Rojūnai Airfield,,EYRO,55.610802,24.2208,LT
Rokiškio aerodromas,,EYRK,55.971924,25.604239,LT
Rūdiškės Airfield,,EYRD,54.495602,24.717501,LT
S. Darius and S. Girenas Airport,,EYKS,54.87987,23.87964,LT
Sasnava,,EYMM,54.66441,23.45533,LT
Šeduva Airfield,,EYSE,55.746399,23.804701,LT
Siauliai International Airport,SQQ,EYSA,55.89389,23.39497,LT
Šilute Air Base,,EYSI,55.3368988037,21.5305995941,LT
Taurage,,EYTR,55.231667,22.150278,LT
Telšiai Airfield,,EYTL,55.986401,22.2878,LT
Tirkšliai Airfield,,EYMA,56.230598,22.259399,LT
Utena,,EYUT,55.48909,25.71814,LT
Valenčiūnai Airfield,,EYLN,55.0214,22.9739,LT
Vilnius International Airport,VNO,EYVI,54.63413,25.28577,LT
Zarasai,,EYZA,55.75167,26.26194,LT
